Titre,Liens
COMPRENDRE LES PLANS INTERCOMMUNAUX DE SAUVEGARDE (PICS),https://amif.asso.fr/wp-content/uploads/2022/12/Fiche-methodologique_PICS.pdf
Plans Communaux et Intercommunaux de Sauvegarde (PCS et PICS),https://www.isere.gouv.fr/contenu/telechargement/67756/542221/file/Pr%C3%A9sentation%20PCS%20et%20PICS.pdf
D.I.C.R.I.M. DOCUMENT D’INFORMATION COMMUNAL SUR LES RISQUES MAJEURS,https://files.georisques.fr/DICRIM/DICRIM_44120.pdf
PROGRAMMES D’ACTIONS DE PRÉVENTION DES INONDATIONS,https://www.ecologie.gouv.fr/sites/default/files/documents/20132-PLAQUETTE-AMC-A4-web.pdf
DOSSIER DÉPARTEMENTAL DES RISQUES MAJEURS,https://www.loire-atlantique.gouv.fr/contenu/telechargement/64298/466984/file/DDRM_44_2024_finalise_light.pdf
Croix Rouge - PREMIERS SECOURS,https://www.icrc.org/sites/default/files/external/doc/fr/assets/files/other/icrc_001_0870.pdf
"FACE AUX RISQUES, AGISSONS : BIEN PRÉPARÉS, BIEN PROTÉGÉS, TOUS ENGAGÉS",https://draaf.paca.agriculture.gouv.fr/IMG/pdf/tous_responsables_print.pdf
GUIDE SECOURS ET PRÉVENTION,https://st-marc-des-carrieres.qc.ca/upload/web-st_marc_des_carrieres-gsp2023.pdf
